Symbol,Kind,File,DefLine,UsageCount,UsageLocations
UI_PL,const,src/ui.pl.ts,1,7,"src/i18n/index.ts#L2; src/i18n/index.ts#L22; src/ui.pl.ts#L18; src/ui.pl.ts#L38; src/ui.pl.ts#L47; src/ui.pl.ts#L129; src/ui.pl.ts#L130"
UI_EN,const,src/ui.en.ts,1,7,"src/i18n/index.ts#L3; src/i18n/index.ts#L22; src/ui.en.ts#L18; src/ui.en.ts#L38; src/ui.en.ts#L47; src/ui.en.ts#L129; src/ui.en.ts#L130"
uiRefs,const,src/ui/uiRefs.ts,14,23,"src/main.ts#L81; src/main.ts#L2480; src/main.ts#L2481; src/main.ts#L2482; src/main.ts#L2483; src/main.ts#L2484; src/main.ts#L2485; src/main.ts#L2486; src/main.ts#L2487; src/main.ts#L2488"
initUi,function,src/ui/initUi.ts,3,3,"src/main.ts#L80; src/main.ts#L2478; src/ui/initUi.ts#L2"
viewState,const,src/state/viewState.ts,3,30,"src/main.ts#L84; src/main.ts#L483; src/main.ts#L852; src/main.ts#L853; src/main.ts#L1072; src/main.ts#L1779; src/main.ts#L1923; src/main.ts#L1953; src/main.ts#L2319; src/main.ts#L2320"
selectionState,const,src/state/selectionState.ts,18,23,"src/main.ts#L82; src/main.ts#L2491; src/main.ts#L2492; src/main.ts#L2493; src/main.ts#L2494; src/main.ts#L2495; src/main.ts#L2496; src/main.ts#L2497; src/main.ts#L2499; src/main.ts#L2500"
hasMultiSelection,function,src/state/selectionState.ts,35,14,"src/main.ts#L82; src/main.ts#L2112; src/main.ts#L2367; src/main.ts#L2399; src/main.ts#L3082; src/main.ts#L4833; src/main.ts#L9910; src/main.ts#L10081; src/main.ts#L10476; src/main.ts#L12603"
interactionState,const,src/state/interactionState.ts,56,32,"src/main.ts#L83; src/main.ts#L2508; src/main.ts#L2509; src/main.ts#L2510; src/main.ts#L2511; src/main.ts#L2512; src/main.ts#L2513; src/main.ts#L2514; src/main.ts#L2515; src/main.ts#L2516"
hasActiveInteraction,const,src/state/interactionState.ts,82,1,"src/state/interactionState.ts#L82"
Model,class,src/model.ts,10,8,"src/core/engine.ts#L0; src/core/engine.ts#L10; src/model.ts#L9; test/engine.spec.ts#L1; test/engine.spec.ts#L19"
arrayToMap,function,src/maps.ts,3,10,"src/maps.ts#L2; src/model.ts#L1; src/model.ts#L22; src/model.ts#L23; test/maps.spec.ts#L1; test/maps.spec.ts#L9"
mapToArray,function,src/maps.ts,13,11,"src/maps.ts#L12; src/core/engine.ts#L4; src/model.ts#L30; src/model.ts#L31; test/maps.spec.ts#L11"
createEmptyModel,const,src/main.ts,98,3,"src/main.ts#L97; src/main.ts#L589; src/main.ts#L11204"
addPoint,const,src/main.ts,281,37,"src/main.ts#L280; src/main.ts#L3004; src/main.ts#L3529; src/main.ts#L3585; src/main.ts#L3626; src/main.ts#L3636; src/main.ts#L3755; src/main.ts#L3789; src/main.ts#L3926; src/main.ts#L3940"
addLineFromPoints,const,src/main.ts,302,22,"src/main.ts#L301; src/main.ts#L3012; src/main.ts#L3050; src/main.ts#L3654; src/main.ts#L4039; src/main.ts#L4040; src/main.ts#L4041; src/main.ts#L4092; src/main.ts#L4093; src/main.ts#L4094"
setLanguage,function,src/i18n/index.ts,13,3,"src/i18n/index.ts#L12; src/main.ts#L2; src/main.ts#L7904"
applyUILanguage,function,src/i18n/index.ts,22,4,"src/i18n/index.ts#L21; src/main.ts#L2; src/main.ts#L7905; src/main.ts#L7908"
getLanguage,function,src/i18n/index.ts,68,5,"src/i18n/index.ts#L67; src/main.ts#L2; src/main.ts#L7900; src/main.ts#L10944"
HINTS,const,src/i18n/index.ts,9,11,"src/i18n/index.ts#L8; src/i18n/index.ts#L16; src/main.ts#L2; src/main.ts#L7858; src/main.ts#L7860"
HINTS_hints,const,src/hints.ts,8,5,"src/hints.ts#L7; src/hints.ts#L78; src/i18n/index.ts#L0; src/i18n/index.ts#L8"
HINTS_EN,const,src/hints.en.ts,1,4,"src/hints.en.ts#L0; src/hints.en.ts#L55; src/i18n/index.ts#L1; src/i18n/index.ts#L14"
initCloudPanel,function,src/files.ts,593,3,"src/files.ts#L592; src/main.ts#L0; src/main.ts#L8001"
initCloudUI,function,src/files.ts,701,4,"src/files.ts#L700; src/main.ts#L0; src/main.ts#L9781; src/main.ts#L11188"
initCloudSaveUI,function,src/files.ts,741,5,"src/files.ts#L740; src/main.ts#L0; src/main.ts#L6675; src/main.ts#L7640"
closeCloudPanel,function,src/files.ts,776,5,"src/files.ts#L775; src/files.ts#L576; src/files.ts#L624; src/main.ts#L9788"
ensureDebugPanelPosition,function,src/debugPanel.ts,38,6,"src/debugPanel.ts#L37; src/debugPanel.ts#L237; src/debugPanel.ts#L299; src/main.ts#L78; src/main.ts#L8025"
endDebugPanelDrag,function,src/debugPanel.ts,60,5,"src/debugPanel.ts#L59; src/debugPanel.ts#L81; src/debugPanel.ts#L293; src/main.ts#L78"
initDebugPanel,function,src/debugPanel.ts,241,3,"src/debugPanel.ts#L240; src/main.ts#L78; src/main.ts#L8004"
renderDebugPanel,function,src/debugPanel.ts,309,3,"src/debugPanel.ts#L308; src/main.ts#L78; src/main.ts#L2418"
makeEmptyRuntime,function,src/core/runtimeTypes.ts,92,12,"src/core/runtimeTypes.ts#L91; src/core/modelToRuntime.ts#L1; src/main.ts#L79; test/engine.runtime.spec.ts#L1"
modelToRuntime,function,src/core/modelToRuntime.ts,5,6,"src/core/modelToRuntime.ts#L4; src/main.ts#L3; src/main.ts#L2183; test/runtimeAdapter.spec.ts#L1; test/runtimeAdapter.spec.ts#L58"
distance,function,src/core/engine.ts,13,1,"src/core/engine.ts#L12"
centroid,function,src/core/engine.ts,19,1,"src/core/engine.ts#L18"
projectPointOnLine,function,src/core/engine.ts,41,5,"src/core/engine.ts#L40; src/core/engine.ts#L126; src/main.ts#L77; src/main.ts#L16732"
intersectLines,function,src/core/engine.ts,58,1,"src/core/engine.ts#L57"
projectPointOnLineRuntime,function,src/core/engine.ts,123,3,"src/core/engine.ts#L122; test/engine.runtime.spec.ts#L2; test/engine.runtime.spec.ts#L11"
segmentKeyForPointsRuntime,function,src/core/engine.ts,153,4,"src/core/engine.ts#L152; test/engine.runtime2.spec.ts#L2; test/engine.runtime2.spec.ts#L6; test/engine.runtime2.spec.ts#L7"
findLineIdForSegmentRuntime,function,src/core/engine.ts,157,3,"src/core/engine.ts#L156; test/engine.runtime2.spec.ts#L2; test/engine.runtime2.spec.ts#L17"
reorderLinePointIdsRuntime,function,src/core/engine.ts,169,5,"src/core/engine.ts#L168; src/main.ts#L77; src/main.ts#L17486; test/engine.runtime2.spec.ts#L2; test/engine.runtime2.spec.ts#L20"
lineExtentRuntime,function,src/core/engine.ts,204,5,"src/core/engine.ts#L202; src/main.ts#L77; src/main.ts#L11616; src/main.ts#L17059; src/main.ts#L17097"
persistedToRuntime,function,src/core/convert.ts,17,2,"src/core/convert.ts#L16; src/files.ts#L773"
runtimeToPersisted,function,src/core/convert.ts,221,2,"src/core/convert.ts#L220; src/files.ts#L773"
initCanvasRenderer,function,src/canvas/renderer.ts,101,2,"src/canvas/renderer.ts#L100; src/main.ts#L53"
renderPoints,function,src/canvas/renderer.ts,1361,3,"src/canvas/renderer.ts#L1360; src/main.ts#L68; src/main.ts#L2288"
